;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
ONCO3;1.000;15,48%;107.331.604;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;11;0,15%;107.331.581;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;24;0,12%;107.331.586;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;19;14,02%;107.331.602;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;11;0,12%;107.331.590;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CASH3;3.000;8,97%;107.331.589;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;43;0,15%;107.331.599;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CASH3;1.000;8,97%;107.331.587;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;269;0,15%;107.331.588;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;1;0,12%;107.331.595;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;7;0,15%;107.331.596;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;7;0,15%;107.331.597;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;50;0,15%;107.331.598;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;1;0,12%;107.331.594;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;64;0,15%;107.331.593;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;100;0,15%;107.331.585;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;11;0,15%;107.331.592;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;82;0,15%;107.331.584;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CXSE3;200;0,03%;107.331.591;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;11;0,15%;107.331.583;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;85;0,15%;107.331.582;Balcão;30/06/2026;18:33:55;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
